Store,Dept,Date,Weekly_Sales,IsHoliday,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,Type,Size,id
1,1,2010-02-05,24924.5,0,42.31,2.572,0.0,0.0,0.0,0.0,0.0,211.0963582,8.106,A,151315,1_1
1,1,2010-02-12,46039.49,1,38.51,2.548,0.0,0.0,0.0,0.0,0.0,211.2421698,8.106,A,151315,1_1
1,1,2010-02-19,41595.55,0,39.93,2.514,0.0,0.0,0.0,0.0,0.0,211.2891429,8.106,A,151315,1_1
1,1,2010-02-26,19403.54,0,46.63,2.561,0.0,0.0,0.0,0.0,0.0,211.3196429,8.106,A,151315,1_1
1,1,2010-03-05,21827.9,0,46.5,2.625,0.0,0.0,0.0,0.0,0.0,211.3501429,8.106,A,151315,1_1
1,1,2010-03-12,21043.39,0,57.79,2.667,0.0,0.0,0.0,0.0,0.0,211.3806429,8.106,A,151315,1_1
1,1,2010-03-19,22136.64,0,54.58,2.72,0.0,0.0,0.0,0.0,0.0,211.215635,8.106,A,151315,1_1
1,1,2010-03-26,26229.21,0,51.45,2.732,0.0,0.0,0.0,0.0,0.0,211.0180424,8.106,A,151315,1_1
1,1,2010-04-02,57258.43,0,62.27,2.719,0.0,0.0,0.0,0.0,0.0,210.8204499,7.808,A,151315,1_1
1,1,2010-04-09,42960.91,0,65.86,2.77,0.0,0.0,0.0,0.0,0.0,210.6228574,7.808,A,151315,1_1
1,1,2010-04-16,17596.96,0,66.32,2.808,0.0,0.0,0.0,0.0,0.0,210.4887,7.808,A,151315,1_1
1,1,2010-04-23,16145.35,0,64.84,2.795,0.0,0.0,0.0,0.0,0.0,210.4391228,7.808,A,151315,1_1
1,1,2010-04-30,16555.11,0,67.41,2.78,0.0,0.0,0.0,0.0,0.0,210.3895456,7.808,A,151315,1_1
1,1,2010-05-07,17413.94,0,72.55,2.835,0.0,0.0,0.0,0.0,0.0,210.3399684,7.808,A,151315,1_1
1,1,2010-05-14,18926.74,0,74.78,2.854,0.0,0.0,0.0,0.0,0.0,210.3374261,7.808,A,151315,1_1
1,1,2010-05-21,14773.04,0,76.44,2.826,0.0,0.0,0.0,0.0,0.0,210.6170934,7.808,A,151315,1_1
1,1,2010-05-28,15580.43,0,80.44,2.759,0.0,0.0,0.0,0.0,0.0,210.8967606,7.808,A,151315,1_1
1,1,2010-06-04,17558.09,0,80.69,2.705,0.0,0.0,0.0,0.0,0.0,211.1764278,7.808,A,151315,1_1
1,1,2010-06-11,16637.62,0,80.43,2.668,0.0,0.0,0.0,0.0,0.0,211.4560951,7.808,A,151315,1_1
1,1,2010-06-18,16216.27,0,84.11,2.637,0.0,0.0,0.0,0.0,0.0,211.4537719,7.808,A,151315,1_1
1,1,2010-06-25,16328.72,0,84.34,2.653,0.0,0.0,0.0,0.0,0.0,211.3386526,7.808,A,151315,1_1
1,1,2010-07-02,16333.14,0,80.91,2.669,0.0,0.0,0.0,0.0,0.0,211.2235333,7.787,A,151315,1_1
1,1,2010-07-09,17688.76,0,80.48,2.642,0.0,0.0,0.0,0.0,0.0,211.108414,7.787,A,151315,1_1
1,1,2010-07-16,17150.84,0,83.15,2.623,0.0,0.0,0.0,0.0,0.0,211.1003854,7.787,A,151315,1_1
1,1,2010-07-23,15360.45,0,83.36,2.608,0.0,0.0,0.0,0.0,0.0,211.2351443,7.787,A,151315,1_1
1,1,2010-07-30,15381.82,0,81.84,2.64,0.0,0.0,0.0,0.0,0.0,211.3699032,7.787,A,151315,1_1
